name,link,image
Demons,https://www.youtube.com/watch?v=WE9TCyec6iM,https://i1.sndcdn.com/artworks-000473135547-5a2jwz-t500x500.jpg
Empire,https://www.youtube.com/watch?v=WE9TCyec6iM,https://i1.sndcdn.com/artworks-000555452616-u1ra8n-t500x500.jpg
Feet Don't Fail Me Now,https://www.youtube.com/watch?v=RKsZAVNRxRQ,https://i1.sndcdn.com/artworks-000529692951-nx4wbe-t500x500.jpg
Gold,https://www.youtube.com/watch?v=HOOgoXrpyyU,https://i1.sndcdn.com/artworks-OSAU8rKn64meJWjk-A0lW4A-t500x500.jpg
Happy Ever After,https://www.youtube.com/watch?v=rjylJat8m5k,https://i1.sndcdn.com/artworks-H4NQFOPAffRZ06Ar-NiPoZA-t500x500.jpg
Here Comes Trouble,https://www.youtube.com/watch?v=YI_U9Xoiv7Q,https://i1.sndcdn.com/artworks-jCyj1i4tjDCHQPs1-dUXLWg-t500x500.jpg
Hooligan,https://www.youtube.com/watch?v=MbNEAIq6pN8,https://i1.sndcdn.com/artworks-WlM6d1rzInOUzKbl-X79Tew-t500x500.jpg
Ignite,https://www.youtube.com/watch?v=7I2Smn0SgVc,https://i1.sndcdn.com/artworks-IbYx0GuzzIRX5eCh-84gHAA-t500x500.jpg
I'm Not Sorry,https://www.youtube.com/watch?v=YYUc7OCZ9K8,https://i1.sndcdn.com/artworks-raz56UaZbL19JsqR-Nfp7rg-t500x500.jpg
Long Time Traveller,https://www.youtube.com/watch?v=KblUT1i3lCg,https://i.scdn.co/image/ab67616d0000b27387ac7b4f12fa0c161cfd4968
Messed up Masterpiece,https://www.youtube.com/watch?v=JLLawEQ9dyk,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/e9/e7/08/e9e70819-c6c7-97fa-6472-ed4ddb71116f/artwork.jpg/600x600bf-60.jpg
Monster,https://www.youtube.com/watch?v=nAPCh6bRulU,https://i.ytimg.com/vi/nAPCh6bRulU/maxresdefault.jpg
Mutiny,https://www.youtube.com/watch?v=bEiW_jGsL-o,https://i1.sndcdn.com/artworks-mDWLGQxvCOUyF4gP-8OntdQ-t500x500.jpg
Nerve,https://www.youtube.com/watch?v=O7Uj-bcn8Bg,https://i1.sndcdn.com/artworks-mpxeM5UyKhbr8Lak-kHDFMQ-t500x500.jpg
Oblivion,https://www.youtube.com/watch?v=eGmxc0LCPOY,https://i1.sndcdn.com/artworks-000598677008-blttu9-t500x500.jpg
Omens,https://www.youtube.com/watch?v=vLS_EJLvlq4,https://i1.sndcdn.com/artworks-000642356812-1wi6d5-t500x500.jpg
Origin,https://www.youtube.com/watch?v=B7xZWOYTFnM,https://i1.sndcdn.com/artworks-000665011828-e773xr-t500x500.jpg
Over My Head,https://www.youtube.com/watch?v=hwSToicQyAY,https://i1.sndcdn.com/artworks-0Qji9mqI1zgbmRzy-Szj8EA-t500x500.jpg
Ready For War,https://www.youtube.com/watch?v=9eNBEz9SAsk,https://i1.sndcdn.com/artworks-IfExmwtHbcGmXfqX-DbRIXQ-t500x500.jpg
Rip,https://www.youtube.com/watch?v=_D8jB95Fn8k,https://images.genius.com/20bd6dc70bebdb61fa46228fc5da258f.1000x1000x1.jpg
Six Feet Deep,https://www.youtube.com/watch?v=9LvMRG9WT_w,https://images.genius.com/638e22d734edcd5463360786256b7fab.999x1000x1.png
Soldiers,https://www.youtube.com/watch?v=FMm-X7LkE3g,https://i1.sndcdn.com/artworks-5X4lkzbwSy5iQSFM-uxhRyA-t500x500.jpg
SuperNova,https://www.youtube.com/watch?v=qnNhSsROyeE,https://i1.sndcdn.com/artworks-000529693293-bzc7pk-t500x500.jpg
Uh Oh,https://www.youtube.com/watch?v=5b3vcHhoxeU,https://i1.sndcdn.com/artworks-BAfZzHFPG8VrPNyw-HSABFA-t500x500.jpg
Underground,https://www.youtube.com/watch?v=CtjHkvyQZe8,https://i.ytimg.com/vi/CtjHkvyQZe8/maxresdefault.jpg
Up In Flames,https://www.youtube.com/watch?v=JgyiQawbfRo,https://i1.sndcdn.com/artworks-cozXBagPYc5g6yEQ-l8iHrg-t500x500.jpg
Vengance,https://www.youtube.com/watch?v=hUq6KNkZcUY,https://i1.sndcdn.com/artworks-N3hE9jRO6rPfJA60-tziAeg-t500x500.jpg
Warning Label,https://www.youtube.com/watch?v=LCwyLSt2jEA,https://static.wikia.nocookie.net/neoni/images/9/9f/Warning_Label_Cover_Art.jpg/revision/latest?cb=20221222183514
Wasteland,https://www.youtube.com/watch?v=I4moygbhKzo,https://i1.sndcdn.com/artworks-yHIZo1jzVEy15c9W-B0KMfg-t500x500.jpg
Weirdo,https://www.youtube.com/watch?v=Cjx3Ky7_ZbA,https://i1.sndcdn.com/artworks-000529693383-f4ecrz-t500x500.jpg
Wreckage,https://www.youtube.com/watch?v=NvDjXI0u9YQ,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/8e/01/11/8e0111bd-c7f3-35e5-0260-9f03a06ef08b/artwork.jpg/1200x1200bf-60.jpg
